Speaker,Dialogue
Joey,"No, no, no, see that's why you have to do this job, agents always lie. You know, Estelle just says stuff like 'They went another way', but this, I can use this. I canna work on a new accent."
Phoebe,"Yeah okay, no if it helps you okay. Yeah."
Ross,"You'll never get me, Joe!!!"
Janice,"No, thank you. Chandler!"
Chandler,"Hello, Janice."
Janice,What are you doing here?
Chandler,"Oh, just a bit of shopping. How've you been?"
Janice,Are you being British?!
Chandler,No. Not anymore.
Janice,Why are you shopping here? You don't live in this neighborhood. Were you here waiting for me?
Chandler,"Yeah, huh. I'm just uh, you know I'm just picking up some things for a party."
Janice,Barley? What kind of party serves barley?
Chandler,"Well, I'm sorry if my friends aren't as sophisticated as yours."
Janice,Where is this party?
Chandler,Here in Chelsea.
Janice,Who's party is it?
Chandler,A woman's
Janice,What woman?!
Chandler,Chelsea.
Janice,"Okay, you know, one of two things is happening here. Either you're seeing somebody behind my back, which would make you the biggest jerk on the planet. Or, else you're pretending that you're seeing somebody, which just makes you so pathetic that I could start crying right here in the cereal aisle. So like which of these two guys do you want to be?"
Chandler,Can I be that guy?
Phoebe,"Okay, so we got some more good rejections, lots of stuff to work on."
Joey,"Okay, shoot."
Phoebe,"Okay, um, oh, the zoo commercial."
Joey,I didn't get it?
Phoebe,"No. They said you 'Weren't believable as a human being.' So, you can work on that."
Joey,"Okay, what else?"
Phoebe,"Um, the off-Broadway play people said 'You were pretty but dumb.'"
Joey,Oh.
Phoebe,"Oh no wait, I'm sorry, that's 'pretty dumb.'"
Joey,"Look, it's okay, no, no, no, really, look um, I really appreciate this Pheebs, but I think I'm gonna have to go back to Estelle."
Phoebe,Oh.
Joey,"Yeah, well don't get me wrong, you're a better agent than she is, but at least with her I don't want to blow my pretty dumb brains out."
Phoebe,"Yeah, no, I understand."
Joey,"You do, thanks."
Phoebe,Yeah. Sorry.
Joey,Wait a minute.
Phoebe,What?
Joey,"Wait a minute, did you just make up all that stuff just to get out of being my agent."
Phoebe,"Oh, you caught me. I am so busted."
Joey,That's-ah what I suspected-ah.
Chandler,"....And then I just, you know, threw the bag of barley at her, and ran out of the store."
Monica,"My God! Chandler, we said be 'aloof' not 'a doof'."
Chandler,"I've actually ruined this haven't I? It's time for the good ice cream now, right?"
Rachel,"Yeah, it is."
Monica,"You know what, everything's gonna be okay."
Chandler,"Hello. Hi, Janice! Can you hold on for a second? Okay. Okay, what do I do?"
Rachel,"Shhh...I don't know what to do, this is totally unprecedented."
Monica,If-if-if we ever did what you did a man would never call.
Rachel,Yeah.
Chandler,Hello!
Monica,"Oh wait, you know what, I got it, I got it, pretend like you just woke up, okay, that will throw her off. Be sleepy."
Rachel,"Yes, and grumpy."
Chandler,"What are you, stop naming dwarves! Hello, Janice. Hi, I'm so glad that you called, I know I've been acting a really weird lately. And, it's just because I'm crazy about you, and I just got...stupid, and, and scared, and....stupid a couple of more times. I'm sorry. Really?! Really?!"
Rachel,"He's soo lucky, if Janice were a guy, she'd be sleeping with somebody else by now."
Chandler,I love you too.
Monica,"Aw, it's soo unfair."
Carol,G. I. Joe. G. I. Joe?!
Ross,"Hey, I don't know what to tell you guys that's the doll he chose."
Susan,"What'd you do, dip it in sugar?"
Ross,"Look, G. I. Joe's in, Barbi's out. And if you guys can't deal with it, that's your 'too bad.'"
Monica,"What are you being such a weenie for? So he has a Barbi, big deal. You used to dress up like a woman."
Ross,What?
Monica,"Well, you used to dress up in Mom's clothes all the time."
Ross,What are you talking about?
Monica,"The big hat, the pearls, the little pick handbag."
Ross,"Okay, you are totally making this up."
Monica,How can you not remember? You made us call you...Bea.
Ross,Oh God.
Susan,I've literally never been this happy.
Monica,Wasn't there a little song?
Carol,"Oh please God, let there be a song."
Ross,There was no song. There was no song!
Monica,'I am Bea.'
Ross,Okay.
Monica,'I drink tea.'
Ross,"Okay, that's, that's enough."
Monica,"'....Won't you, won't you, won't you.... '"
Ross,Won't you dance around with me.
Monica,A-ha!!! Closing Credits
Chandler,Hey!
Joey,Hey!
Chandler,Hey-hey-hey. So what happened? A forest tick you off?
Joey,No. Y'know how we’re always saying we need a place for the mail.
Chandler,Yeah!
Joey,"Well, I started building one. But then I decided to take it to the next step."
Chandler,You’re building a post office?
Joey,"No, an entertainment unit, with a mail cubby built right in. It’s a one day job, max."
Chandler,Okay. My word! Those are snug.
Joey,"Oh yeah. These are my old work pants, Sergio Valente’s."
Joey,Power saw kinda got away from me there. Opening Credits
Rachel,Hey Pheebs.
Phoebe,Hey!
Rachel,Any sign of your brother?
Phoebe,"No, but he’s always late."
Rachel,I thought you only met him once?
Phoebe,"Yeah, I did. I think it sounds y'know big sistery, y'know, ‘Frank’s always late.’"
Rachel,"Well relax, he’ll be here."
Phoebe,"No, I know, I’m just nervous. Y'know it’s just y'know Mom’s dead, don’t talk to my sister, Grandma’s been sleeping a lot lately. It’s like the last desperate chance to have a family, y'know, kinda thing. You’re so sweet to wait with me."
Rachel,"Well, actually Gunther sent me. You’re not allowed to have cups out here, it’s a thing."
Chandler,Does anyone else think David Copperfield is cute?
Monica,"No, but he told me, he thinks your a fox."
Chandler,"All right, Janice, likes him. In fact she likes him so much she put him on her freebie list."
Joey,Her what?
Chandler,"Well, we have a deal, where we each get to pick five celebrities that we can sleep with, and the other one can’t get mad."
Ross,"Ah, the heart of every healthy relationship. Honesty, respect, and sex with celebrities."
Monica,"So, Chandler, who’s on your list?"
Chandler,"Ah, Kim Basinger, Cindy Crawford, Halle Berry, Yasmine Bleeth, and ah, Jessica Rabbit."
Rachel,"Now, you do realize that she’s a cartoon, and way out of your league?"
Chandler,"I know, I know, I just always wondered if I could get her eyes to pop out of her head."
Joey,"Hey, Monica, who would yours be?"
Monica,"First, I need a boyfriend, then I can have a list."
Joey,"It’s just a game Mon. Rach, how about you?"
Rachel,"Oh, I don’t know, I guess, Chris O’Donnel, John F. Kennedy, Jr., Daniel Day Lewis, Sting, and Parker Stevenson."
Ross,Spiderman?
Rachel,Hardy Boy.
Chandler,Peter Parker.
Ross,Thank you.
Rachel,"What about you honey, who would be on your list?"
Ross,"Well I-I-I, that kind of thing requires some serious thought. First, I’ll divide my perspective canidates into catergories...."
Chandler,What a geek!
Phoebe,Everbody this is Frank! This is my half-brother Frank.
Phoebe,This is everybody. This is Ross.
Frank,How are you?
Ross,Hey.
Phoebe,Chandler.
Chandler,Hi.
Frank,Hi.
Phoebe,Joey.
Joey,Hey-hey!
Frank,Hey.
Phoebe,This is Monica.
Frank,Whoa!
Phoebe,And this is Rachel.
Rachel,Hi!
Frank,Whoa!!
Phoebe,I’m gonna get coffee.
Frank,"Hey, how do you guys get anything done?"
Chandler,"We don’t, really."
Rachel,"Well, so, now, do you guys have a lot of big plans?"
Phoebe,"Oh yeah! Yeah, no, we’re gonna connect, y'know bond, and everything."
Frank,"Yeah, I was thinking that maybe we could go down to Time Square and pick up some ninja stars. And, oh, um, my friend Larry, he wants me to take a picture of a hooker."
Chandler,"You know, we don’t really take advantage of living in the city."
Joey,I know.
Joey,"Oh, I’m sorry. Did I get ‘ya?"
Chandler,"No, you didn’t get me!! It’s an electric drill, you get me, you kill me!!"
Joey,"Calm down, do you want this unit or not?"
Chandler,I do NOT want this unit!!
Joey,"Well, you should’ve told me that before, I’m not a mind reader. Hey, we’re out of beer. I’m going to Monica’s."
Chandler,Fine!
Monica,Hey! Where ‘ya headin’ in those pants? 1982?
Joey,"Oh Monica, listen, I ah, I saw down at the hardware store, they got those designer tiles on sale. If you ever want to redo the bathroom floor."
Monica,"Why, what’s wrong with my bathroom floor?"
Joey,"Nothing. It’s just old and dingy, that’s all."
Monica,I highly doubt that.
Joey,"Oh yeah. If you ah, move your hamper, you see what color the tile used to be. Yeah."
Monica,I can’t live like this! What are we gonna do? What are we gonna do?
Joey,Relax. Here hold this . This old stuff just comes right off.
Monica,That’s a little more than I wanted to see.
Joey,"Aw! Look at that, every inch of this stuff is glued down. It’d take forever to pry this up. You should ah, you should just leave it."
Monica,I can’t leave it! You gouged a hole in my dingy floor.
Joey,Eh! There you go.
Monica,"You know that’s nice, y'know we could put it back there after the surgeons remove it from your colon!"
Phoebe,"Oh, ew!"
Frank,What?
Phoebe,"Yeah I know what I wanted to ask you. Um, can you roll your tongue? Because I can, and my Mom couldn’t, and I thought y'know, I figured that was something I got from our Dad."
Frank,"What, wait, you mean like this?"
Phoebe,"Yeah, yeah. You can do it to."
Frank,Your not doing it.
Phoebe,"Oh right, yeah okay, my Mom could, and I can’t. We don’t have that...."
Frank,When’s your birthday?
Phoebe,Feburary 16th.
Frank,I know a guy who’s the 18th.
Phoebe,"Wow, that’s close. When’s yours?"
Frank,October 25th.
Phoebe,"That’s the same month as Halloween. So, um, what kinda things do you like to do at home?"
Frank,Melt stuff.
Ross,"Okay, I’ve got three of my five."
Rachel,"Three of your five, what?"
Ross,Celebrities I’m allowed to sleep with.
Rachel,Oh my God! You are giving this a lot of thought.
Ross,"Yeah, it’s hard okay, I only have two spots left."
Chandler,"All right, so who do you got it narrowed down to?"
Ross,"Okay, Elizabeth Hurely...."
Chandler,"Oooh-hoo, very attractive, forgiving."
Ross,Susan Sarandon.
Chandler,"Eh, y'know what, she’s to political, she probably wouldn’t let you do it, unless you donated four cans of food first."
Ross,And!! Isabella Rosselini.
Chandler,"Ooh-hoo. Very hot, very sexy. But ah, y'know she’s too international, y'know she’s never gonna be around."
Rachel,So?
Chandler,"So, you gotta play the odds, pick somebody who’s gonna be in the country like all the time."
Rachel,"Yeah, ‘cause that’s why you won’t get Isabella Rosselini, geography."
Phoebe,"Okay so, by melting, you meant melting."
Frank,Yeah.
Phoebe,So is it like art?
Frank,"Yeah, you can melt art. Hey, can I use your phone?"
Phoebe,"Um, yeah sure. Why you wanna call your Mom?"
Frank,"No, I wanna melt it."
Phoebe,"Oh, well um, not right now. Y'know I’m just gonna go to bed, I think the fumes are giving me a headache."
Frank,Yeah!
Phoebe,"G’night, bro."
Frank,G’night.
Phoebe,"Here. Y'know, just in case."
Frank,"Oh, excellent. Commercial Break"
Monica,What kind of karate is that?
Phoebe,No kind. He just makes it up.
Monica,So how’s it going with you guys?
Phoebe,"So far, it kinda blows. I don’t know, I just thought y'know that he’d feel more like a brother y'know, like you and Ross, just like close and connected and...."
Monica,"Oh honey, we’re close now but you-you wouldn’t believe the years of-of nugies, and wedgies, and flying wedgies, and atomic wedgies, and.... That’s where the waistband actually goes over your head."
Phoebe,Ah!!
Monica,"Oh, we used to drive each other crazy playing the shadow game."
Phoebe,"Oh, how do you play the shadow game?"
Monica,"Oh, how do you play the shadow game?"
Phoebe,I just asked you.
Monica,I just asked you.
Phoebe,I don’t have time for this.
Monica,"No, that is what the game is."
Phoebe,Which you just gave up really quickly.
Chandler,Have you seen Joey?
Monica,What’s the matter?
Chandler,"Oh, just this! Y’know what it’s my fault really, because the couch is usually where we keep the varnish."
Joey,"Hey, does somebody wanna hand me one of those tiles."
Chandler,What’s going on?
Monica,He’s retiling my floor.
Chandler,Yo!! Spackel boy! Get up!
Monica,"Ah-ah-ah, now you started this, you will finish it."
Chandler,He started mine first!
Phoebe,"Build the unit Cinderelly, lay the tile Cinderelly."
Frank,Whoa! Big octopus.
Phoebe,"Yeah. ‘Hello. Oh my God, I totally forgot! Well can’t someone else do it. But, I have company. Yeah, no look, that’s all right I’ll come in.’ Um, Frank, I’m really sorry but I have to go to work. It’s-it’s one of my regulars and he’s insisting that I do ‘um."
Frank,"Hey, what kind of work do you do?"
Phoebe,Oh! I’m a masseuse. I give people massages and stuff.
Frank,You-you work at one of those massage parlors?
Phoebe,"Well, y'know we don’t call it that, but yeah!"
Frank,"Wow! That’s wild! No, I had no idea."
Phoebe,All righty. I’ll be back in-in a little bit. Unless you wanna come with me?
Frank,You mean like watch?
Phoebe,"No, no, you can get one yourself. It’ll be on the house! Y'know what are big sisters for?"
Frank,"Well, I don’t think this, y'know."
Phoebe,"No, no, no, I wouldn’t do you myself, I mean that would be weird. Yeah, no, I’ll get one of the other girls to do it. Oh, this will be so much fun! Hey! Are you excited?"
Frank,"Yeah! Hey, do Monica and Rachel work there?"
Monica,It’s beautiful! It’s like the first bathroom floor there ever was. Whoa! Are you going in there for?
Chandler,"What, like a number?"
Ross,Hey!
Chandler,Hi! Bye!
Ross,"Okay, I’m done with my choices, these are final."
Rachel,"Well, it’s about time."
Joey,"Ooh, very official."
Ross,"Oh, yeah, well y'know Chandler printed it up on his computer."
Monica,And who laminated it?
Ross,That would be me.
Rachel,"All right let me see. Uma Thurman, Winona Ryder, Elizabeth Hurely, Michelle Pfieffer, and Dorothy Hammel?"
Ross,"Hey, it’s my list."
Rachel,"Okay honey, you do realize she only spins like that on ice."
Frank,"Ow!-Ow!-Ow! Ow! Ow! Ow! Ow! Ow! Ow! Y'know, ow!"
Phoebe,Hey!-Hey! What’s going on?
Frank,She broke my arm.
Frank,"No, she touched mine first!"
Frank,"So wait, what’s the deal here, I can have sex with you, but I can’t touch you? Phoebe and Girl: Ewww!!!"
Phoebe,You can’t have sex with her!
Frank,"No, your a masseuse, it’s cool, I’m not a cop."
Phoebe,"Okay, Jasmine, can you, can you ask Mr. Whiffler if he can wait for like five minutes."
Jasmine,Fine. I don’t like you!!
Phoebe,So that’s what you thought I did!! God! That’s not what I do!
Frank,"Wait that’s-that’s, what that’s not what you do?"
Phoebe,Nooo! Why would you think that?
Frank,"I don’t know, I mean, y'know, this is the city y'know, I just, I mean, I don’t know."
Phoebe,"Whatever, it’s the perfect end to the perfect weekend anyways."
Frank,"Oh, wait, no your right, no it was perfect and I can’t believe that I screwed it up so bad."
Phoebe,You really thought it was perfect?
Frank,"Well, no, maybe-maybe it wasn’t perfect, but y'know it was pretty cool, y'know, ‘cause we had all those great talks y'know."
Phoebe,"Yeah, um, which ones in particular were great for you?"
Frank,"Well y'know about the tongue thing, y'know, and how I told you about my likes and my dislikes..."
Phoebe,I don’t....
Frank,"How-how I like to melt stuff, and how I dislike stuff that doesn’t melt."
Phoebe,"Right, okay, um-mm."
Frank,"Yeah, y'know I feel like I can really talk to you ‘cause y'know you’re my sister, y'know."
Phoebe,"Yeah, I guess I do, yeah."
Frank,Then I go feel your friend up and make you mad at me.
Phoebe,"Well, I-I wasn’t hopping mad, y'know."
Frank,"You hopped a little bit. Yeah, I really sorry."
Phoebe,"Okay. All right, this is my favourite part of the weekend, right now, this."
Frank,This?
Phoebe,Uh-huh.
Frank,"Oh come on we went, we went to Time Square, we found ninja stars, I almost got arm broken by a hooker..."
Phoebe,She wasn’t a hooker.
Frank,"Well, when I tell my friends about her she will be."
Chandler,"Okay, on three. One....Two...."
Joey,Why don’t we just go on two.
Chandler,Why two?
Joey,Because it’s faster.
Chandler,"Yeah, I coulda counted to three like four times without all this ‘two’ talk."
Rachel,Oh!
Joey,"All right, but in the future..."
Ross,Okay!! Okay!!
Rachel,Come on!
Ross,"Heavy thing, not getting lighter!"
Chandler,"Okay, one...two..."
Joey,So we are going on two?
Chandler,"Oh, good job Joe."
Joey,"Wow, it’s big!"
Chandler,"Yeah-yeah, so big that it actually makes our doors look smaller!"
Joey,"Maybe, my ruler’s wrong."
Phoebe,Maybe all the rulers are wrong.
Joey,"Look it’s not that bad. So what, it blocks a little of your door, a little of my door."
Chandler,"Yeah, y'know what I got a better idea. How-how ‘bout it blocks none of mine door and a lot of yours?"
Joey,"Yeah, listen, before I forget that side is still wet."
Rachel,"Okay sir, um-mm, let see if I got this right. Ah, so this is a half-caf, double tall, easy hazel nut, non-fat, no foam, with whip, extra hot latte, right? Okay, great. You freak."
Ross,Thank you.
Isabella,"Um, coffee to go, please."
Ross,Isabella Rosselini.
Monica,Are you serious? Oh my God.
Ross,Damn! I can’t believe I took her off my list.
Monica,Why? ‘Cause otherwise you’d go for it?
Ross,"Yeah, maybe."
Rachel,"Oh-oh, you lie."
Ross,What you don’t think I’d go up to her?
Rachel,"Ross, it took you ten years to finally admit you liked me."
Ross,"Yeah, well missy, you better be glad that list is laminated."
Rachel,"You know what honey, you go ahead, we’ll call her an alternate."
Ross,"Okay, hold my crawler."
Rachel,Okay.
Monica,"Rach, are you really gonna let him do this?"
Rachel,"Honey, he’s about to go hit on Isabella Rosselini. I’m just sorry we don’t got popcorn."
Ross,"Hi! Hi, I’m Ross, you don’t know me, but I’m a big, big fan of yours. I mean, Blue Velvet, woo-oo hoo! Um, I was wondering if I could um, maybe buy you a cup of coffee? Or maybe reimburse you for that one?"
Isabella,Aren’t you with that girl over there?
Ross,"Well, yeah, kinda. Um, but that’s okay, see we have an understanding, um, see we each have this list of five famous people, so I’m allowed to sleep with you. No, no, no, it’s flattery."
Isabella,I’m sorry.
Ross,"Oh no, no, no, wait, wait, Isabella. Don’t, don’t just dismiss this so fast. I mean this is a once in a lifetime opportunity..."
Isabella,"Yeah, for you. Is that the list?"
Ross,"Um, yeah."
Isabella,May I see it?
Ross,"Um, no."
Isabella,Come on!
Ross,"But, okay."
Isabella,I’m not on the list!
Ross,"Um, see, but that’s not the final draft."
Isabella,It’s laminated!
Ross,"Yeah, um, okay see, you were, you were on the list but my friend, Chandler brought up the very good point that you are international, so I bumped you for Wynona Rider, local."
Isabella,Y'know it’s ironic...
Ross,What?
Isabella,...because I have a list of five goofy coffee house guys and yesterday I bumped you for that guy over there.
Ross,We’re just gonna be friends. Closing Credits
Joey,Y'know what?
Chandler,Umm?
Joey,I bet ‘ya ya I could fit in there.
Chandler,I’ve got five bucks says you can’t.
Joey,"Get out your checkbook, mister."
Chandler,"Oh, I think I have the cash."
Joey,You are dogged man! I totally fit!
Chandler,"Yeah, you got me. I’m out five big ones! Here you go."
Joey,"Thank you. Cha-ching! Oh, well hello Mr. Lincoln. Better luck next time buddy. And the drinks are on me! End"
Janice,Janice has a question. Who of the six of you has sleep with the six of you?
Phoebe,"Wow, it’s like a dirty math problem."
Ross,I’m sorry the answer there would be...none of us.
Janice,"Come on over the years none of you ever y'know, got drunk and stupid."
Joey,"Well, that’s really a different question."
Janice,I’m sorry I find it hard to believe that a group of people who spends as much time together as you guys do has never bumped uglies.
Joey,"Well, there was that one time that Monica and Rachel got together. Monica and Rachel: What?!!"
Rachel,"Excuse me, there was no time!"
Joey,"Okay, but let’s say there was. How might that go?"
Janice,"Okay, okay, well then answer me this. Has any of you ever.... almost?"
Rachel,Does anybody need more coffee?
Ross,"Yeah, I’ll take some."
Joey,"Hey, there’s a dog out there! Opening Credits"
Phoebe,"Oh, that is so unfortunate."
Ross,What?
Phoebe,Cute naked guy is really starting to put on weight.
Monica,"Okay, I’ll be back in just a minute. Oh, Phoebe I’m sorry that I left lipstick marks on the phone."
Phoebe,You didn’t leave lipstick marks on the phone.
Monica,"Oh, then it must’ve been you. Bye."
Phoebe,Bye-bye! That’s why I moved out.
Ross,"Hey, y'know while we’re on that, when are you gonna tell my sister that you don’t live here anymore."
Phoebe,I think on some levels she already knows.
Ross,"Phoebe, she doesn’t know that you sneak out every night, she doesn’t know that you sneak back every morning, and she doesn’t know that you’ve been living with your Grandmother’s for a week now."
Phoebe,"Okay, well maybe not on those levels."
Chandler,Hey.
Ross,Hey.
Chandler,"I’m never gonna find a roommate, ever."
Phoebe,"Why, nobody good?"
Chandler,"Well let’s see, there was the guy with the ferrets, that’s plural. The spitter. Oh-ho, and yes, the guy that enjoyed my name so much he felt the need to make a little noise every time he said it. Nice to meet you, Chandler Bing Bing! Great apartment Chandler Bing, Bing!"
Ross,So how many more do you have tomorrow?
Chandler,"Two. This photographer, who seemed really dull. And this actor guy, who I’m not sure about, because when he called and I answered the phone ‘Chandler Bing,’ he said ‘Whoa-whoa, short message.’"
Monica,"Ross , foot on the floor or come over no more!"
Ross,"Sure, your dresser is missing but this she notices."
Monica,What?
Ross,"I have to go. Yeah, Carol should be home by now, soo..."
Chandler,"Umm, how’s it going with you guys?"
Ross,"Oh, better, actually. Y'know I-I-I think I finally figured out why we were having so much trouble lately."
Phoebe,"Oh, really?"
Ross,"Yeah, y'know how I have you guys, well she doesn’t really have any close friends that are just hers, but last week she meet this woman at the gym, Susan something, and they really hit it off, and I-I-I think it’s gonna make a difference"
Chandler,"Soo, ah, Eric, what kind of photography do ya do?"
Eric,"Oh, mostly fashion, so there may be models here from time to time, I hope that’s cool."
Chandler,"Yes, that is cool. Because I have models here y'know......never."
Eric,"Oh, yeah, during the summer, I spend most weekends at my sister’s beach house, which you are welcome to use by the way. Although, I should probably tell you, she’s a porn star."
Chandler,"Well, listen I ah, still have one more person to ah meet, but unless it turns out to be your sister, I think you’re chances are pretty good. All right."
Chandler,"Bedroom. Bathroom. Living room. This right here is the kitchen, and thanks for coming by, Bye-bye."
Joey,"Don’t you ah, don’t you wanna ask me any questions?"
Chandler,Sure. Ummm. What’s up?
Joey,"Well, ah, I’m an actor. I’m fairly neat. I ah, I got my own TV. Oh, and don’t worry I’m totally okay with the gay thing."
Chandler,What gay thing?
Joey,"Ah, y'know just in general people being gay, thing. I’m totally cool with that."
Chandler,"Well okay Jerry, thanks for stopping by."
Monica,Hi.
Joey,Hey!
Chandler,"Hey, Mon."
Monica,Hey-hey-hey. You wanna hear something that sucks.
Chandler,Do I ever.
Monica,Chris says they’re closing down the bar.
Chandler,No way!
Monica,"Yeah, apparently they’re turning it into some kinda coffee place."
Chandler,Just coffee! Where are we gonna hang out now?
Monica,Got me.
Chandler,Can I get a beer.
Monica,"Hey, did you pick a roommate?"
Chandler,You betcha!
Monica,Is it the Italian guy?
Chandler,"Um-mm, yeah right!"
Monica,He’s so cute.
Chandler,"Oh yes, and that’s what I want a roommate that I can walk around with and be referred to as the funny one."
Monica,"Oh look, the pool table’s free. Rack ‘em up. I’ll be back in just a minute. Get ready for me to whip your butt."
Chandler,"Okay, but after that, we’re shootin’ some pool."
Rachel,"Oh, um, no, no, no, no excuse me, hello. Hi. My friend ordered an onion, not an olive, and uh I ordered a rum and Diet Coke, which I don’t think this is."
Waitress,I am so sorry.
Rachel,"That’s all right. I mean hard is it to get a couple drinks right, huh? Friend No. 1: Well, I would like to propose a toast to the woman, who in one year from today, become Mrs. Dr. Barry Farber DDS"
Rachel,"Ummm, I think it’s time to see the ring again. Friend No. 2: Oh, isn’t it exciting, I mean it’s like having a boyfriend for life."
Rachel,"Yeah, I know. Friend No. 1: What?"
Rachel,"Oh, I don’t know. Well maybe it’s just the idea of Barry for the rest of my life. I don’t know I think I feel like I need to have one last fling, y'know, just to sorta get it out of my system. Friend No. 1: Rachel stop! Friend No. 2: You’re so bad!"
Rachel,"I’m serious, I really, I think I need just to have some...meaningless, sex y'know, with the next guy that I see."
Chandler,"Excuse, I seem to have dropped my ball."
Rachel,"Yeah, so?"
Chandler,And now I’ve picked it up again.
Monica,"Oh my God, I went to high school with her. Rachel! Hi!"
Rachel,Monica! Look! Hi! What do ya think?
Monica,"Oh my God, you can’t even see where the Titanic hit it."
Rachel,"Yes, his name is Barry, he’s a doctor, thank you very much."
Monica,"Awww, just like you always wanted. Congratulations"
Rachel,"Thank you. So how-how ‘bout you, are-are you seeing anybody?"
Monica,"Aww, not right now."
Rachel,"Oh, but that’s okay."
Monica,I know.
Rachel,Yeah.
Monica,"So, I’ll get-get back to my friend."
Rachel,"Oh, yeah, sure, sure, sure, sure. Listen, can we please have lunch the next time I’m in the city?"
Monica,"Oh, that’d be great."
Rachel,Okay!
Monica,Thanks.
Rachel,Bye!
Monica,"Bye! Ten bucks says, I never see that woman again in my life."
Ross,"No real-, honey, really it’s fine, just g-go with Susan. Really, I, no, I think girls night out is a great idea. Okay, okay, bye"
Phoebe,So what are they doing?
Ross,"I don’t know, something girlie."
Phoebe,"Hey, you’re early."
Monica,What are you doing with the lamp?
Phoebe,I’m just taking it to be re-wired.
Monica,"Oh, well don’t take it to the same place you took the stereo, ‘cause they’ve had that thing for over a week."
Phoebe,"No, no, Mr. Heckles no one is making any noise up here. Mr. Heckles: You’re disturbing my oboe practice."
Phoebe,You don’t play the oboe! Mr. Heckles: I could play the oboe!
Phoebe,Then I’m gonna have to ask you to keep it down. Mr. Heckles: Who are you?
Eric,"Hi, I’m Eric, I’m gonna be Chandler’s new roommate. Mr. Heckles: I’m Chandler’s new roommate."
Eric,I-I-I don’t think so. Mr. Heckles: I could be Chandler’s new roommate.
Eric,"But, he told me over the phone. Mr. Heckles: He told me in person."
Eric,"That’s weird. Mr. Heckles: Well, I’m going to go into my new apartment now. Ehh!"
Monica,"Hi, again."
Joey,Hey!
Chandler,Hey!
Monica,"Thank you soo, much."
Chandler,"Oh, don’t thank me, thank the jerk that never showed up. Okay, I gotta get to get to work."
Monica,You want some help with that?
Joey,"Oh, no thanks, I got it. No I don’t!"
Monica,Whoa! Are you okay?
Joey,"Whew! Stood up to fast, got a little head rush."
Monica,It’s the heat. And-and the humidity.
Joey,"That’s a uh, that’s a tough combination."
Monica,Do you wanna come in for some lemonade?
Joey,Like you wouldn’t believe. Wow! This is a great place.
Monica,Thank you. Just make yourself comfortable.
Joey,Gotcha.
Monica,"This place is really my Grandmother’s. I got it from her when she moved to Florida, otherwise I could never afford a place like this. So if the landlord ever asks, I’m 87 year old woman, who’s afraid of her VCR. So are you thirsty?"
Joey,"Oh, you bet I am!"
Monica,"Okay, here’s your penis! Commercial Break"
Monica,Oh my God!!! What are you doing?!!
Joey,"You said, you wanna come in for some lemonade?"
Monica,So?!
Joey,"Whoa, ah!! We’re you just gonna give me some lemonade?"
Monica,Yeah huh!! Cover yourself up!
Joey,"Oh right, right."
Monica,"I don’t believe this! When someone asks you in for lemonade, and to you that means they wanna have sex?"
Joey,"Well usually...yeah! Well, not just lemonade, iced tea, sometimes juice. Well, sorry, I just, I thought you liked me. I’m such a jerk."
Monica,"It’s okay. I suppose it could happen to anyone, not anyone I know, but... By the way I can still see it."
Monica,Pheebs?
Phoebe,Huh?
Monica,Where’s your bed?
Phoebe,It’s not in the apartment? Oh no. I can’t believe this is happening again.
Monica,What?
Phoebe,"Okay, enough with the third degree! I-I’ve, I don’t live here anymore."
Monica,What are you talking about?
Phoebe,"I’m sorry, I-I-I-I don’t live here anymore. I-I didn’t know how to tell you, but y'know everybody else knows!"
Monica,Everybody knows!
Phoebe,"That was supposed to be a good thing, I forget why. Just listen, Monica, I, do you know, okay, do you know, I couldn’t sleep for like a month because I got like a dot of ink on one of the sofa cushions."
Monica,"Well, you-you coulda just turned the cushion over."
Phoebe,"Yeah, I would’ve except I had a big spaghetti stain on the other side."
Monica,What?!?!
Phoebe,"Okay, this is what I’m talking about, this. I-I need to live in a land where people can spill."
Monica,You can spill. In the sink.
Phoebe,"Aw, honey it’s not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don’t see that happening."
Monica,"I love you, too."
Phoebe,"Aww, good. What?"
Monica,What? I’m just said.
Phoebe,"No you’re not, you’re wondering which cushion it is."
Chandler,"So ah, whatcha watching?"
Joey,Baywatch.
Chandler,What’s it about?
Joey,Lifeguards.
Chandler,"Well, it sounds kinda stupid... Who’s she?"
Joey,Nicole Eggert. You'll like her.
Chandler,Wow! Look at them run.
Joey,"They do that a lot. Hey, you want a beer?"
Chandler,"Yeah, I’ll go get one."
Joey,"No, no, no, don’t get up, I got a cooler right here."
Chandler,"Well, hello!"
Monica,Hey.
Chandler,Do you have any beers? We’re out of beers.
Monica,Help yourself.
Chandler,You okay?
Monica,Phoebe moved out.
Chandler,Right.
Monica,"I don’t understand, I mean am I so hard to live, is this why I don’t have a boyfriend?"
Chandler,"Noo!! You don’t have a boyfriend because....I don’t, I don’t know why you don’t have a boyfriend. You should have a boyfriend."
Monica,"Well, I think so."
Chandler,"Oh-ho, come here. Listen, you are one of my favourite people and the most beautiful woman I’ve ever known in real life."
Ross,Hi. Where is everybody?
Phoebe,"Oh, it’s already closed, Chris gave me the keys to lock up-what is wrong?"
Ross,"My marriage, I think my marriage is um, is kinda over."
