,Speaker,Dialogue
18652,Issac,"Oh right, that Rachel chick from the coffee place."
18653,Ross,"Yeah, that’s the one. Listen, I don’t want to hurt her."
18654,Issac,"Oh, hey, man I know, doesn’t matter how much we love ‘em, monogamy is too cruel a rule."
18655,Ross,"Yeah. Listen, can you keep this information to yourself?"
18656,Issac,"Aw, no problem dude. Y'know we got to look out for each other. We’re the same, you and me."
18657,Ross,"Actually, no, we’re not."
18658,Issac,"Yeah, we are."
18659,Ross,"No, we’re not."
18660,Issac,"Yeah, we are."
18661,Ross,"No, we’re not!!"
18662,Issac,"Okay, we’re not."
18663,Ross,Right.
18664,Issac,"But, we are."
18665,Ross,Fine. I just need to know that you’re not gonna tell your sister.
18666,Issac,I can promise not to tell her again.
18667,Ross,Jasmine?
18668,Jasmine,Uh-huh.
18669,Ross,"We met at Phoebe’s birthday party, I’m, I’m Ross Geller."
18670,Jasmine,You did a bad thing!
18671,Ross,"Yes, I did."
18672,Jasmine,Very bad!
18673,Ross,Very bad.
18674,Jasmine,"Very, very bad."
18675,Ross,"I’m agreeing with you. Did you, listen, did you happen to tell Phoebe yet?"
18676,Jasmine,No.
18677,Ross,"Okay, Jasmine, please, please don’t. I love my girlfriend very much, and I want more than anything to just work it out with her. Okay?"
18678,Jasmine,All right.
18679,Ross,"Thank you, thank you."
18680,Jasmine,"But you should probably talk to my roommate, because I told him and he knows Phoebe too."
18681,Ross,Who’s your roommate?
18682,Ross,"Gunther! Gunther. Gunther, please tell me you didn’t say anything to Rachel about me and the girl from the Xerox place."
18683,Gunther,I’m sorry. Was I not supposed to? Commercial Break
18684,Monica,Ow!
18685,Phoebe,Oh!!
18686,Monica,Ow!! Ow!!
18687,Phoebe,Ow!!! Monica and Phoebe: Ow!!!!!!! Ow-ow-ow-ow!
18688,Phoebe,We’re all right.
18689,Monica,"It’s okay, it’s okay."
18690,Phoebe,We’re all right.
18691,Monica,We were just waxing our legs.
18692,Chandler,Off?!!
18693,Phoebe,"For your information, this happens to be a pain like no man will ever experience."
18694,Chandler,"Yeah, well I don’t think you can make that statement, unless you’ve been kicked in an area that God only meant to be treated nicely."
18695,Joey,"Yeah, I-I think that women just have a lower threshold of pain than men, that’s all. I mean, come on, it’s just a little wax."
18696,Phoebe,"Oh yeah, come here."
18697,Chandler,"Oh, that’s mature."
18698,Joey,"Okay, fine, so now what, I just pull it off?"
18699,Phoebe,Uh-huh.
18700,Monica,That’s right.
18701,Ross,"Come on, Rachel, come on! Talk to me! Please!!"
18702,Rachel,I can’t talk to you. I can’t even look at you right now!
18703,Monica,What?
18704,Chandler,"Nothing, nothing."
18705,Monica,Rachel said everything was okay.
18706,Phoebe,"What, what are they talking about?"
18707,Ross,Rachel?
18708,Rachel,Just get away from me!
18709,Ross,"No, it was a mistake! I made a mistake! Okay?"
18710,Rachel,A mistake?! What were you trying to put it in? Her purse?!
18711,Phoebe,Whe-where did he put it?!
18712,Rachel,"Ross, you had sex with another woman!"
18713,Monica,Oh my God.
18714,Phoebe,"Oh, I knew something had to be wrong, because my fingernails did not grow at all yesterday."
18715,Chandler,"Yeah, well, I guess they had a fight, and he got drunk...."
18716,Monica,Oh!! You guys knew about this and you didn’t tell us?!
18717,Chandler,"He has sex, and we get hit in our heads."
18718,Rachel,"Y'know what, I want you to leave! Get outta here!"
18719,Ross,No!!
18720,Rachel,Just get out! Now!!
18721,Ross,No!! No!! I wanna stay. I wanna talk about this.
18722,Rachel,Okay! All right! How was she?
18723,Chandler,Uh-oh.
18724,Ross,What?
18725,Rachel,Was she good?
18726,Joey,Don’t answer that.
18727,Rachel,"Come on Ross! You said you wanted to talk about it, let’s talk about it!! How was she?"
18728,Ross,She was...
18729,Joey,Awful! Horrible!
18730,Chandler,She was not good. Not good.
18731,Joey,She was nothing compared to you.
18732,Ross,"She, she was different."
18733,Joey,Ewwwww!
18734,Chandler,Uh-oh.
18735,Rachel,Good different?
18736,Ross,Nobody likes change.
18737,Ross,"What? Okay, okay, okay, okay."
18738,Phoebe,Should we do something?
18739,Chandler,"Yeah, never cheat on Rachel."
18740,Ross,"I’m sorry, okay, I’m sorry. I wa-I was disgusted with myself, and this morning I was so, I was so upset and then I got your message and I was so happy, and all I wanted was to get her out of my apartment as fast as possible."
18741,Rachel,"Whoa!! Whoa, whoa, wait a minute. What time did your little friend leave? Oh my God. She was there? She was still there? She was in there, when I was in there?!"
18742,Ross,"Listen. Oh hey, hey, the important thing was that she meant, she meant nothing to me!"
18743,Rachel,And yet she was worth jeopardising our relationship!!
18744,Ross,"Look, I didn’t think there was a relationship to jeopardise. I thought we were broken up."
18745,Rachel,We were on a break!
18746,Ross,"That, for all I knew would, could last forever. That to me is a break-up."
18747,Rachel,You think you’re gonna get out of this on a technicality?
18748,Ross,"Look, I’m not trying to get out of anything, okay. I thought our relationship was dead!"
18749,Rachel,"Well, you sure had a hell of a time at the wake!"
18750,Joey,"Y'know what, I don’t think we should listen to this anymore."
18751,Monica,"What, what are you doing? You can’t go out there."
18752,Joey,Why not?! I’m hungry.
18753,Monica,Because they’ll know we’ve been listening.
18754,Rachel,God! And to have to hear about it from Gunther!!
18755,Ross,"Come on! Like I wanted him to tell you, I ran all over the place trying to make sure that didn’t happen!"
18756,Rachel,"Oh, that is so sweet. I think I’m falling in love with you all over again."
18757,Chandler,"Y'know what, I think we can go out there. I mean they have more important things to worry about."
18758,Joey,"Yeah, we’ll be fine."
18759,Ross,"Look Rachel, I wanted to tell you, I thought I should, I-I did, and then Chandler and Joey convinced me not to."
18760,Chandler,"Wax the door shut, we’re never leaving, ever."
18761,Phoebe,"Hi, it’s Phoebe. Listen someone’s gonna have to take my 9:00 with Mr. Rehack, ‘cause it’s like 9:15 now, and I’m not there."
18762,Ross,Don’t you realise none of this would’ve ever happened if I didn’t think at that same moment you weren’t having sex with Mark?
18763,Rachel,All right. Let’s say I had slept with Mark. Would you have been able to forgive me?
18764,Ross,Yes I would.
18765,Rachel,"You’d be okay if you knew that Mark had kissed me, and been naked with me, and made love to me?"
18766,Ross,Yes.
18767,Rachel,"You knew that our hot, sweaty, writhing bodies were...."
18768,Ross,"La-la-la-la-la-la-la-la-la-la! Okay, okay, yeah, I would have been devastated but, I would still want to be with you. Because it’s, I mean it’s you."
18769,Ross,"What? Come on Rach, tell me what you’re thinking?"
18770,Rachel,"I’m thinking, I’m gonna order a pizza."
18771,Ross,"Order a pizza like, ‘I forgive you?’"
18772,Joey,"Oh man, pizza? I like pizza. Put olives on the pizza."
18773,Phoebe,We could eat the wax! It’s organic.
18774,Chandler,"Oh great, food with hair on it."
18775,Phoebe,"No, not the used wax."
18776,Chandler,Because that would be crazy?
18777,Ross,"Hey, can I, can I get in on that? Because I’m kinda hungry myself."
18778,Rachel,"Fine. Hi! Yes, I’d like to order a large pizza."
18779,Ross,No anchovies.
18780,Rachel,"With ah, extra anchovies."
18781,Ross,"That’s okay, I’ll just pick ‘em off."
18782,Rachel,"Yeah, and could you please chop some up and just put it right there in the sauce?"
18783,Ross,"You can have the last piece, if you want."
18784,Rachel,"Well, I should think so. You slept with someone."
18785,Phoebe,"They’re gonna get through this, aren’t they?"
18786,Chandler,"Yeah, come on, it’s Ross and Rachel, they’ve got too."
18787,Monica,What if they don’t?
18788,Joey,You think I need a new walk?
18789,Chandler,What?
18790,Joey,"Well y'know, I’ve been walking the same way since high school. Y'know, y'know how some guys they walk into a room and everybody takes notice. I think I need a ‘take notice’ walk."
18791,Chandler,Are you actually saying these words?
18792,Ross,"What, now you’re not even taking to me? Look Rachel, I-I’m sorry, okay, I’m sorry, I was out of my mind. I thought I’d lost you, I didn’t know what to do. Come on! Come on, how insane must I have been to do something like this? Huh? I-I don’t cheat right, I, that’s not me, I’m not Joey!"
18793,Joey,"Whoa-ho-ho! Yeah, okay."
18794,Monica,Hey. It’s three in the morning. They don’t know that I’ve come home yet. You notice how neither one of them are wondering where I am.
18795,Phoebe,"Yeah, y'know, people can be so self-involved."
18796,Ross,"Y'know what, y'know what, I’m-I’m not the one that wanted that, that break, okay. You’re the one that bailed on us. You’re the one that, that ran when things got just a little rough!"
18797,Rachel,That’s....
18798,Ross,That’s what?!
18799,Rachel,That is neither here nor there.
18800,Ross,"Okay, well here we are. Now we’re in a tough spot again, Rach. What do you want to do? How do you want to handle it? Huh? Do you wanna fight for us? Or, do you wanna bail? Look, I, I did a terrible, stupid, stupid thing. Okay? And I’m sorry, I wish I could take it back, but I can’t. I just can’t see us throwing away something we know is so damn good. Rachel, I love you so much."
18801,Rachel,"No Ross!! Don’t! You can’t just kiss me and think you’re gonna make it all go away, okay? It doesn’t work that way. It doesn’t just make it better. Okay?"
18802,Ross,"Okay, okay, okay."
18803,Rachel,I think you should go.
18804,Ross,What?
18805,Rachel,I really think you need to go now.
18806,Ross,"Okay, okay. This morning you said there was nothing so big that we couldn’t work past it together..."
18807,Rachel,"Yeah, what the hell did I know!"
18808,Ross,"Look, look, there’s got to be a way we can work past this. Okay, I can’t imagine, I can’t imagine my life without you. Without, without these arms, and your face, and this heart. Your good heart Rach, and, and...."
18809,Rachel,"No. I can’t, you’re a totally different person to me now. I used to think of you as somebody that would never, ever hurt me, ever. God, and now I just can’t stop picturing with her, I can’t, it doesn’t matter what you say, or what you do, Ross. It’s just changed, everything. Forever."
18810,Ross,"Yeah, but this can’t be it, I mean."
18811,Rachel,Then how come it is? Closing Credits
18812,Phoebe,They’ve been quiet for a long time.
18813,Joey,Maybe she killed him?
18814,Chandler,Let’s go.
18815,Chandler,Is that your new walk?
18816,Joey,"No, I really have to pee. End"
18817,Joey,Can I see the comics?
18818,Chandler,This is the New York Times.
18819,Joey,"Okay, may I see the comics?"
18820,Monica,Guys. I thought you were taking Ross to the game?
18821,Chandler,We are. He’s meeting us here.
18822,Monica,No! Rachel is meeting us here.
18823,Phoebe,"Oh come on, they can be in the same room."
18824,Joey,"Yeah, you shoulda been there last night."
18825,Phoebe,Why? What happened now?
18826,Joey,"Well Ross was hangin’ out over at our place, Rachel comes over to borrow some moisturiser from Chandler...."
18827,Chandler,"Yeah y-you, how hard is it to say something? Rachel came over to borrow something."
18828,Joey,Anyway! Her and Ross just started yelling at each other.
18829,Phoebe,Wait. Why was he yelling at her? He’s the one who slept with someone else.
18830,Joey,"Well, I guess he says that because they were on a break when it happened, that she should of forgiven him by now."
18831,Phoebe,"Whoa!! He is soo unreasonable! God, although I think I understand what he means. Oh my God, this is like 60 Minutes, okay, when, when, at first you’re really mad at that pharmaceutical company for making the drug and then y'know you just feel bad for the people because they needed to make their hair grow."
18832,Chandler,"Y'know what this is like? This is like when my parents got divorced. Man, I hope Ross doesn’t try to kidnap me after Cub Scouts."
18833,Phoebe,"Y'know I had a dream where Ross and Rachel were still together, they never broke up. And we were all just like hanging out, and everyone was happy...."
18834,Joey,I had the same dream!
18835,Phoebe,"Yeah, and nobody slept with that Xerox girl."
18836,Joey,"Oh, I had the opposite dream."
18837,Chandler,"Y'know what maybe it’s gonna be okay, I mean it’s been a week."
18838,Joey,"Yeah, I mean it’s never taken me a week to get over a relationship."
18839,Monica,It’s never taken you more than a shower to get over a relationship.
18840,Monica,"Okay, let’s go!! Let’s hit the road!!"
18841,Rachel,Hey!
18842,Monica,Let’s get the show on it!
18843,Rachel,"Okay, let me just get a cup of coffee."
18844,Monica,"Oh Rachel, I know the best coffee house and it’s sooo close."
18845,Rachel,Closer than here?
18846,Phoebe,"Oh, hey, look, I found coffee! Okay, let’s skedaddle."
18847,Rachel,"Wait, I’m not just gonna drink somebody’s old coffee."
18848,Phoebe,"Okay, your highness."
18849,Phoebe,"Um, Rachel I’m really sorry. That’s okay, do you wanna get back together? Yeah, okay. Did anyone else hear that?! Opening Credits"
18850,Rachel,Is he here?
18851,Chandler,No.
18852,Rachel,Oh. Here’s your moisturiser. Hi! Monica and Phoebe: Hey!
18853,Rachel,"You guys are gonna love meee! Okay, check it out, Thursday night, five tickets, Calvin Klein lingerie show, and you guys are coming with me. Okay, I said that out loud right?"
18854,Chandler,"Yes, yes, it’s just that we ah, we kinda all ready, made plans with Ross."
18855,Rachel,"Oh, well okay. Well, there you go."
18856,Phoebe,"No, it’s just that he got this new like home theater dealie, and he wants y'know, us to check it out."
18857,Rachel,Hm-mm.
18858,Chandler,"Yeah, he’s really excited about it too, he even recorded show times on his answering machine."
18859,Rachel,Ohh!
18860,Monica,We’re sorry honey.
18861,Rachel,"Oh, it’s okay."
18862,Joey,"Rach, it’s, it’s ah, it’s not that we don’t want to, really. Are we talking models in their underwear?"
18863,Rachel,And heels.
18864,Joey,"Ross, did ask us first, and we set that night aside."
18865,Rachel,"No, hey, come on, if he asked you first, that’s only fair."
18866,Phoebe,"Ohhh boy, do I feel bad."
18867,Joey,Oh yeah.
18868,Monica,Very bad.
18869,Phoebe,Chandler what are you doing?!
18870,Monica,Chandler!!
18871,Chandler,Oh my God!
18872,Joey,You’re smoking again?!
18873,Chandler,"Well, actually, yesterday I was smoking again. Today, I’m, I’m smoking still."
18874,Phoebe,Why would you start again after chewing all that quitting gum?
18875,Chandler,"Look, I’m telling you this is just like my parents divorce, which is when I started smoking in the first place."
18876,Monica,Weren’t you nine?!
18877,Chandler,"Yeahhh. I’m tellin’ ya something, that ah, first smoke after nap time...."
18878,Chandler,"Oh that’s great, with my luck, that’s gonna be him."
18879,Phoebe,"Him? Him, Ross?"
18880,Chandler,"Nope, hymn 253, His Eyes Are On The Sparrow! When my parents got divorced is when I started using humour as a defence mechanism."
18881,Rachel,"Hi! Uhh, do you guys have plans for the weekend? Because I have my sister on hold, and she said that we could use her cabin for the weekend and go skiing. Huh? I’m asking you first, right?!. I mean I’m playing by the rules."
18882,Rachel,Chandler! You’re smoking? What are you doing?!
18883,Chandler,"Hey, shut up!! You’re not my real Mom!!"
18884,Joey,"Hey, can you close that window Chandler? My nipples can cut glass over here!"
18885,Phoebe,Wait. Really?! ‘Cause mine get me out of tickets.
18886,Ross,"Look, you guys I just wanna say, I really, really appreciate you spending this time with me. It’s been a pretty hard time right now, so I just wanna say thanks."
18887,Chandler,Can somebody else hug him? I have to stay by the window.
18888,Ross,"Oh hey, hey, huh, how about this weekend we have a laser disc marathon okay, and maybe a tournament on my new dart board? Huh, huh, what do you think? Two days of darts, it’ll be great!"
18889,Joey,It’ll be great for next weekend.
18890,Ross,"No, no, no, this weekend guys!"
18891,Joey,"It’ll be great for next weekend. I mean, it’ll be grrreat."
18892,Ross,What’s going on?
18893,Phoebe,"Well, we were um, sorta invited to go skiing, y'know Rachel’s sister’s cabin."
18894,Ross,"So, for the whole weekend?"
18895,Monica,"We’re really sorry, but um, she did ask us first."
18896,Ross,"Yeah, that’s okay, I mean if you guys all have to go away for the first weekend I’m alone by myself, y'know then I totally, totally understand."
18897,Phoebe,"Y'know what, I can stay, I’m gonna stay. ‘Cause the last time I went skiing I was to afraid to jump off the chair lift, I just went around and around."
18898,Joey,"Uh, Pheebs we kinda need you to drive us all up there in your grandmother’s cab, but y'know what, I’ll stay."
18899,Monica,Noo! I’ll stay. He’s my brother.
18900,Ross,What a pity stay?
18901,Monica,No! We’re gonna have fun. We can make fudge!
18902,Ross,"Pity food? Y'know what that’s okay, all right, I don’t need any of you to stay, okay nobody stays."
18903,Chandler,"Well, then, I might as well offer to stay."
18904,Joey,"Hey, does anybody else feel bad about Ross?"
18905,Monica,Why? Do you think he’s still mad at us?
18906,Chandler,Well he’s probably mad after you called him this morning to borrow his goggles.
18907,Joey,What? Mine aren’t tinted.
18908,Phoebe,Chandler!!
18909,Chandler,What?
18910,Phoebe,What does the sign say?
18911,Chandler,Beam me up Jesus.
18912,Phoebe,"No, the ‘No Smoking’ sign. There’s no smoking in my Grandmother’s cab."
18913,Chandler,"Okay, well, then, I-I have to go to the bathroom."
18914,Phoebe,Please!
18915,Monica,No Chandler no! No unscheduled stops. You can go when we stop for gas.
18916,Chandler,"Oh, come on, there’s a rest stop right up there! Come on, I really have to goooooooooo."
18917,Joey,"Oh, now I have to go!!"
18918,Chandler,"Here we go. Okay, brace yourselves."
18919,Monica,What?
18920,Rachel,Okay.
18921,Monica,Ow!
18922,Phoebe,Aren’t you gonna go?
18923,Rachel,No. Thank you.
18924,Monica,"No, Rachel never pees in public restrooms."
18925,Rachel,"Well, they never have any paper in there y'know. So my rule is ‘no tissue, no tuschy.’ Well, if everybody’s going."
18926,Phoebe,"No, y'know what don’t close it ‘cause the... keys...are in there."
18927,Chandler,"Oh, no-no-no-no-no-no!!"
18928,Joey,What’s going on?
18929,Chandler,My lighter’s in there! Commercial Break
18930,Chandler,Damn! The tailpipe’s not hot enough to light this!
18931,Joey,"Relax okay, I-I-I can get this open. Anybody have a coat hanger?"
18932,Chandler,"Oh I do! Op, no, wait a minute, I took it out of my shirt when I put it on this morning."
18933,Monica,"So, if you’re parents hadn’t got divorced, you’d be able to answer a question like a normal person?"
18934,Joey,"Look, I just need a wire something to jimmy it. Oh hey, one of you guys give me the underwire from your bra!"
18935,Monica,What?!
18936,Rachel,What?!
18937,Joey,Come on! Who has the biggest boobs?
18938,Monica,Please!!
18939,Joey,"Whoever has the biggest boobs, has the biggest bra, therefore has the biggest wire. The Girls: No, not getting my bra!"
18940,Joey,"If you wanna get back in the car, we need the wire, your call."
18941,Phoebe,"Okay, Monica’s are the biggest."
18942,Monica,"These tiny, little non-breasts?! Please, it’s gotta be Rachel."
18943,Rachel,"What, no, no, no, mine are deceptively small I mean, I-I-I actually sometimes, st-stuff my bra."
18944,Monica,"All right then, your bra would still be big."
18945,Rachel,"No, I stuff outside the bra."
18946,Chandler,"Ladies, ladies, let’s just compromise okay? Phoebe, Rachel take off Monica’s bra."
18947,Phoebe,"All right, forget it, nevermind, you can have mine."
18948,Rachel,"Chandler, what are you doing? There is a trash can right there."
18949,Chandler,"Well, I thought if I littered, that crying Indian might come by and save us."
18950,Phoebe,"Okay, there."
18951,Joey,"Thank you Phoebe, that is very, very generous."
18952,Chandler,"Okay, now let’s decide who has the nicest ass."
18953,Joey,And there you go!
18954,Monica,Chandler!!
18955,Chandler,At least let me smoke it to the good part.
18956,Phoebe,"Okay. Oh, no!"
18957,Rachel,"What, what’s it, what’s going on?"
18958,Phoebe,"Yeah, this has happened before."
18959,Rachel,So you know how to fix it?
18960,Phoebe,Yep. Put more gas in.
18961,Carol,Hi!
18962,Ross,Hey.
18963,Carol,"Hey, what are you doing here?"
18964,Ross,"Well, oh just ah, I was just wondering, when you and I split up, did you get the tape that was half the last episode of M*A*S*H and half the hostages coming home?"
18965,Carol,"Ah yeah, but now it’s Susan and me in Mexico and the hostages coming home."
18966,Ross,Where’s Ben?
18967,Carol,He’s sleeping.
18968,Ross,"Ahh. Ooh, is this a ah, is this a bad time?"
18969,Carol,"Umm, yeah, actually, Susan’s gonna be home any minute, it’s kinda an anniversary."
18970,Ross,"Oh! I thought you guys got married in uh, January?"
18971,Carol,It’s not that kind of anniversary.
18972,Ross,Ah! Oh.
18973,Carol,Sooo!! Anyway...
18974,Ross,"Umm, candles, champagne, yeah anniversaries are great. ‘Cause you know love lasts forever, y'know. Nothing like it in this lifetime, money in the bank, so Rachel and I broke up."
18975,Carol,"Oh God, Ross I am so sorry."
18976,Ross,"Yeah, well."
18977,Carol,"Y'know what, I want to talk to you about this so much, but we should probably do it when we could really get into it, are you free for dinner tomorrow night?"
18978,Ross,"Oh yeah, I’d love that."
18979,Carol,"Oh, great! Me too."
18980,Ross,I guess it all started when Rachel got this new job.
18981,Phoebe,"Okay, yeah. Triple A can pick us up."
18982,Rachel,Great!
18983,Phoebe,"Yeah, what town are we near?"
18984,Monica,"Freemont. West-Westmont, ah Westburg?"
18985,Phoebe,Then why are you answering? Do you at least know what route we’re on?
18986,Rachel,"Yeah, we are definitely on Route 27."
18987,Phoebe,"Okay. We are at a rest stop on Route 27. Okay. There is no Route 27. Okay, either 93 or 76?"
18988,Rachel,"I don’t know, I’m sorry, I always slept in the back when we drove up here."
18989,Phoebe,"Okay. Hey, can you send somebody up and down 76 and check every rest stop, and, and also 93? Okay! Yeah, no they don’t do that."
18990,Rachel,"Ugh, okay, well somebody will come and save us."
18991,Monica,"Who? I mean have you seen a car come by here in the last hour and a half? I think we should call Ross, maybe he can get a car and come pick us up."
18992,Rachel,"No! No, I am not getting in a car with Ross, we will just have to live here!"
18993,Phoebe,But if...
18994,Rachel,"No you guys, I am not getting in a car with him, you’ll have to think of something else."
18995,Phoebe,"Oh good, oh Joey and Chandler are back."
18996,Monica,So the going for help went well?
18997,Joey,"Oh yeah, Smokey Joe here got half way to the highway and collapsed."
18998,Chandler,I have the lung capacity of a two year old.
18999,Monica,Then why are you smoking?
19000,Chandler,Well it’s very unsettling.
19001,Ross,"....right? Right? I mean it’s pretty unbelievable y'know, I mean they just took off, took off without even looking back. Y'know I don’t, I don’t need them, huh, I’ve got you guys now as friends, you and Susan."
19002,Carol,"Ah, Susan will be so pleased."
19003,Ross,"717? Where’s 717? Hey, you’ve have more of these for Susan right?"
19004,Carol,"No. But it’s okay, I’ll just put out pickles or something."
19005,Phoebe,"Ross, thank God."
19006,Ross,"Pheebs? What, why are you whispering?"
19007,Phoebe,I ate a bug.
19008,Monica,"Hey Rach, the tampons here are only a penny. Let’s stock up."
19009,Phoebe,"Listen Ross, we ran out of gas, and we don’t know where we are, so we can’t get a tow truck."
19010,Ross,"Oh, now you want a favour?"
19011,Phoebe,"Yes, please."
19012,Ross,"Well, oh, I’m sorry your car broke down Pheebs, but I’m a little too busy with some of my real friends right now, but please call to let me know you got home safely okay?"
19013,Carol,"Phoebe, hang on a second. Here, take my car, go pick up your friends."
19014,Ross,"No, I’m not gonna pick them up."
19015,Carol,"Listen, we both know you’re gonna do it ‘cause you’re not a jerk. Okay? So you can either sulk here for a half hour and then go pick them up, or save us both time and sulk in the car."
19016,Ross,"No, Rachel doesn’t want me to...."
19017,Carol,"Look, I-I-I am sorry that Rachel dumped you ‘cause she fell in love with that Mark guy, and you are the innocent victim in all of this, but don’t punish your friends for what Rachel did to you."
19018,Ross,"Yeah, you’re right."
19019,Carol,Phoebe hang on a second Ross wants to say something. What? You slept with someone else?!
19020,Ross,"We were on a break!!! Okay!! We were, we were..., yeah. Where are you? I’ll find you."
19021,Carol,You slept with another woman?
19022,Ross,"Oh, you-you’re-you’re one to talk."
19023,Joey,"Okay, done."
19024,Monica,What’s ‘pleh’?
19025,Joey,That’s ‘help’ spelled backwards so that the helicopters can read it from the air!
19026,Monica,Huh. What’s doofus spelled backwards?
19027,Rachel,"Op, op, car! Car!! Ugh!!!"
19028,Phoebe,"Oh, it’s Ross on one of his drives! Chandler and Joey: Hey!!"
19029,Phoebe,Hi!
19030,Rachel,What is he doing here?!
19031,Ross,"He is saving your butt, ah, unless of course I’m stepping on some toes here, in which case I can just mosey on, I’ve got plenty of people to help on the Interstate."
19032,Rachel,All right!! Fine! Fine.
19033,Joey,Arrrghh!!
19034,Chandler,"Oh no, now it’s not gonna make any sense!"
19035,Phoebe,"You guys, what, what do we do about Ross who drove all the way up here? What do we do? Just like send him back and we’re then gonna go skiing?"
19036,Chandler,"Oh, this is horrible, it’s just horrible."
19037,Joey,"Guys, do you think we should ask Ross to come along?"
19038,Monica,"I know, what about Rachel? I mean how are we even gonna ask her?"
19039,Rachel,Ask me what?
19040,Monica,"Umm, if ah, it might be okay if Ross came skiing? Chandler, Phoebe, and Joey: No, I wasn’t gonna ask you that, no."
19041,Rachel,You guys are unbelievable. No! He cannot come.
19042,Ross,Excuse me?
19043,Chandler,It’s horrible.
19044,Ross,"Oh please, can’t I come to your special, magical cabin?"
19045,Rachel,Why would you even want to come Ross? You’re a horrible skier.
19046,Ross,"Oh-oh, hitting me where it hurts, my ski skills."
19047,Monica,Here we go again.
19048,Joey,"I-I can’t handle this, you guys."
19049,Chandler,"Y'know what, I can handle it, handle’s my middle name. Actually it’s the ah, middle part of my first name."
19050,Ross,"All right Pheebs, your cab’s ready."
19051,Rachel,"All right, let’s go!"
19052,Ross,You’re welcome.
19053,Rachel,"Oh, I’m sorry, were you speaking to me or sleeping with someone else?"
19054,Ross,We were on a break!
19055,Rachel,Y'know Ross why don’t you put that on your answering machine!
19056,Ross,"Hey-hey, it’s valid okay? And I’m not the only one who thinks so, Monica agrees with me."
19057,Rachel,What?!
19058,Monica,I don’t know.
19059,Ross,That’s what you said last night.
19060,Monica,"What I said was, was that I understood. Joey’s the one who agreed with you!"
19061,Ross,Okay.
19062,Rachel,Really Joey?
19063,Joey,What?
19064,Phoebe,"Y'know what, but there is, there is no right or wrong, here."
19065,Rachel,"No, I think it’s very obvious who’s wrong here."
19066,Ross,Obviously not to Joey.
19067,Joey,What?
19068,Ross,"Look both, Joey and Monica feel the same way that I do. No-no-no-no."
19069,Chandler,"Guys, guys, guess who I am?!"
19070,Phoebe,"Hey! Hey! Hey! Hey!! Hey!!! Look what you’re doing to Chandler!! Yeah, look, we know this is really, really hard for you guys. Okay? You don’t, all right you don’t have to love each other, okay? You don’t, you don’t even have to like each other much right now. But please, you have to figure out a way to be around each other."
19071,Joey,"Yeah, and not put us in the middle."
19072,Phoebe,"Yeah, otherwise, I mean that’s, that’s, that’s just it for us hanging out together. Y'know is that what you want? Can you be civil?"
19073,Rachel,Yeah.
19074,Ross,I can.
19075,Phoebe,"Okay. Good, all right, let’s get back in the car, ‘cause it’s freezing, and my chest is unsupported."
19076,Joey,"Oh what, wait, wait a second, I mean, what are we doing? Who’s going with who?"
19077,Ross,"Look, you guys, you guys should go. No, I’m, you, you planned this all out, and I don’t want to ruin it, so you guys should just go."
19078,Joey,"Come on man, you drove all the way up here."
19079,Ross,"No, no, really, I’ve got to take the car back anyway, I’m spending all day tomorrow with Ben, It’s fine, no guilt I promise."
19080,Rachel,Thank you.
19081,Monica,"All right, we’ll call you when we get back."
19082,Ross,Okay.
19083,Phoebe,Maybe we can like go to a movie or something.
19084,Ross,Okay.
19085,Phoebe,"Or, or the rodeo!!"
19086,Ross,That would be great.
19087,Phoebe,Okay!
19088,Chandler,I was being Shelly Winters from The Poseidon Adventure.
19089,Ross,I know!
19090,Phoebe,Bye!!! Closing Credits
19091,Carol,Ugh. Ross!
19092,Ross,Hi! Sorry I’m late. Were you sleeping?
19093,Carol,"Ahh, nooo!!"
19094,Ross,"Oh, great! Listen, oh I had to get you a whole new battery. I got you the best one I could, ‘cause that’s not where you want to skimp."
19095,Carol,"You’re a genius, Ross."
19096,Ross,"Yeah, well it came to about $112, but what the hell, just call it an even 110?"
19097,Carol,"Okay, I’ll pay you tomorrow."
19098,Ross,Okay.
19099,Carol,"Okay, bye!!"
19100,Ross,"So they ah, they all took off, it was pretty hard watching them go, y'know?"
19101,Carol,"Yeah, okay, bye."
19102,Ross,So I’m gonna take off then! End
19103,Monica,What’s so funny?
19104,Joey,"Oh, nothing, no. It’s an acting exercise, I’m practising my fake laugh."
19105,Monica,Oh.
19106,Joey,What-what’s so funny?
19107,Gunther,"Oh, no-no, no-no-no, there’s none of that in here."
19108,Chandler,Oh come on man! At least let me finish this last one.
19109,Gunther,"Okay, but only if you give me a drag."
19110,Chandler,Okay.
19111,Gunther,"Oh dark mother, once again I suckle at your smokey tit."
19112,Chandler,"No-no, why don’t you hang on to that one."
19113,Chandler,"Okay, that’s like the least fun game ever."
19114,Rachel,"Well, I’m really sick of your smoking, so I brought something that is going to help you quit."
19115,Chandler,"Oh. Nope, that patch is no good."
19116,Rachel,"Come on, it’s a hypnosis tape. This woman at work used it for two weeks straight and she hasn’t smoked since."
19117,Ross,Pffhah.
19118,Rachel,What’s your problem?
19119,Ross,"Nothing, it’s just that hypnosis is beyond crap."
19120,Rachel,"Ross, I watched you get hypnotised in Atlantic City."
19121,Ross,"Hey, that guy did not hypnotise me! Okay."
